Entity,Code,Date,Total confirmed cases (cases),Daily new confirmed cases (cases)
Afghanistan,AFG,"Mar 17, 2020",21,5
Afghanistan,AFG,"Mar 18, 2020",22,1
Afghanistan,AFG,"Mar 19, 2020",22,0
Afghanistan,AFG,"Mar 20, 2020",22,0
Afghanistan,AFG,"Mar 21, 2020",24,2
Afghanistan,AFG,"Mar 22, 2020",24,0
Afghanistan,AFG,"Mar 23, 2020",34,10
Afghanistan,AFG,"Mar 24, 2020",40,6
Afghanistan,AFG,"Mar 25, 2020",42,2
Afghanistan,AFG,"Mar 26, 2020",75,33
Afghanistan,AFG,"Mar 27, 2020",75,0
Afghanistan,AFG,"Mar 28, 2020",91,16
Afghanistan,AFG,"Mar 29, 2020",106,15
Afghanistan,AFG,"Mar 30, 2020",114,8
Albania,ALB,"Mar 9, 2020",2,2
Albania,ALB,"Mar 10, 2020",6,4
Albania,ALB,"Mar 11, 2020",10,4
Albania,ALB,"Mar 12, 2020",11,1
Albania,ALB,"Mar 13, 2020",23,12
Albania,ALB,"Mar 14, 2020",33,10
Albania,ALB,"Mar 15, 2020",38,5
Albania,ALB,"Mar 16, 2020",42,4
Albania,ALB,"Mar 17, 2020",51,9
Albania,ALB,"Mar 18, 2020",55,4
Albania,ALB,"Mar 19, 2020",59,4
Albania,ALB,"Mar 20, 2020",70,11
Albania,ALB,"Mar 21, 2020",70,0
Albania,ALB,"Mar 22, 2020",76,6
Albania,ALB,"Mar 23, 2020",89,13
Albania,ALB,"Mar 24, 2020",100,11
Albania,ALB,"Mar 25, 2020",123,23
Albania,ALB,"Mar 26, 2020",146,23
Albania,ALB,"Mar 27, 2020",174,28
Albania,ALB,"Mar 28, 2020",186,12
Albania,ALB,"Mar 29, 2020",197,11
Albania,ALB,"Mar 30, 2020",212,15
Algeria,DZA,"Dec 31, 2019",0,0
Algeria,DZA,"Jan 1, 2020",0,0
Algeria,DZA,"Jan 2, 2020",0,0
Algeria,DZA,"Jan 3, 2020",0,0
Algeria,DZA,"Jan 4, 2020",0,0
Algeria,DZA,"Jan 5, 2020",0,0
Algeria,DZA,"Jan 6, 2020",0,0
Algeria,DZA,"Jan 7, 2020",0,0
Algeria,DZA,"Jan 8, 2020",0,0
Algeria,DZA,"Jan 9, 2020",0,0
Algeria,DZA,"Jan 10, 2020",0,0
Algeria,DZA,"Jan 11, 2020",0,0
Algeria,DZA,"Jan 12, 2020",0,0
Algeria,DZA,"Jan 13, 2020",0,0
Algeria,DZA,"Jan 14, 2020",0,0
Algeria,DZA,"Jan 15, 2020",0,0
Algeria,DZA,"Jan 16, 2020",0,0
Algeria,DZA,"Jan 17, 2020",0,0
Algeria,DZA,"Jan 18, 2020",0,0
Algeria,DZA,"Jan 19, 2020",0,0
Algeria,DZA,"Jan 20, 2020",0,0
Algeria,DZA,"Jan 21, 2020",0,0
Algeria,DZA,"Jan 22, 2020",0,0
Algeria,DZA,"Jan 23, 2020",0,0
Algeria,DZA,"Jan 24, 2020",0,0
Algeria,DZA,"Jan 25, 2020",0,0
Algeria,DZA,"Jan 26, 2020",0,0
Algeria,DZA,"Jan 27, 2020",0,0
Algeria,DZA,"Jan 28, 2020",0,0
Algeria,DZA,"Jan 29, 2020",0,0
Algeria,DZA,"Jan 30, 2020",0,0
Algeria,DZA,"Jan 31, 2020",0,0
Algeria,DZA,"Feb 1, 2020",0,0
Algeria,DZA,"Feb 2, 2020",0,0
Algeria,DZA,"Feb 3, 2020",0,0
Algeria,DZA,"Feb 4, 2020",0,0
Algeria,DZA,"Feb 5, 2020",0,0
Algeria,DZA,"Feb 6, 2020",0,0
Algeria,DZA,"Feb 7, 2020",0,0
Algeria,DZA,"Feb 8, 2020",0,0
Algeria,DZA,"Feb 9, 2020",0,0
Algeria,DZA,"Feb 10, 2020",0,0
Algeria,DZA,"Feb 11, 2020",0,0
Algeria,DZA,"Feb 12, 2020",0,0
Algeria,DZA,"Feb 13, 2020",0,0
Algeria,DZA,"Feb 14, 2020",0,0
Algeria,DZA,"Feb 15, 2020",0,0
Algeria,DZA,"Feb 16, 2020",0,0
Algeria,DZA,"Feb 17, 2020",0,0
Algeria,DZA,"Feb 18, 2020",0,0
Algeria,DZA,"Feb 19, 2020",0,0
Algeria,DZA,"Feb 20, 2020",0,0
Algeria,DZA,"Feb 21, 2020",0,0
Algeria,DZA,"Feb 22, 2020",0,0
Algeria,DZA,"Feb 23, 2020",0,0
Algeria,DZA,"Feb 24, 2020",0,0
Algeria,DZA,"Feb 25, 2020",0,0
Algeria,DZA,"Feb 26, 2020",1,1
Algeria,DZA,"Feb 27, 2020",1,0
Algeria,DZA,"Feb 28, 2020",1,0
Algeria,DZA,"Feb 29, 2020",1,0
Algeria,DZA,"Mar 1, 2020",1,0
Algeria,DZA,"Mar 2, 2020",3,2
Algeria,DZA,"Mar 4, 2020",5,2
Algeria,DZA,"Mar 5, 2020",12,7
Algeria,DZA,"Mar 6, 2020",17,5
Algeria,DZA,"Mar 9, 2020",20,3
Algeria,DZA,"Mar 12, 2020",20,0
Algeria,DZA,"Mar 13, 2020",24,4
Algeria,DZA,"Mar 14, 2020",26,2
Algeria,DZA,"Mar 15, 2020",37,11
Algeria,DZA,"Mar 16, 2020",48,11
Algeria,DZA,"Mar 17, 2020",60,12
Algeria,DZA,"Mar 18, 2020",60,0
Algeria,DZA,"Mar 19, 2020",73,13
Algeria,DZA,"Mar 20, 2020",82,9
Algeria,DZA,"Mar 21, 2020",94,12
Algeria,DZA,"Mar 22, 2020",94,0
Algeria,DZA,"Mar 23, 2020",102,8
Algeria,DZA,"Mar 24, 2020",189,87
Algeria,DZA,"Mar 25, 2020",231,42
Algeria,DZA,"Mar 26, 2020",264,33
Algeria,DZA,"Mar 27, 2020",305,41
Algeria,DZA,"Mar 28, 2020",305,0
Algeria,DZA,"Mar 29, 2020",409,104
Algeria,DZA,"Mar 30, 2020",454,45
Andorra,AND,"Mar 3, 2020",1,1
Andorra,AND,"Mar 14, 2020",2,1
Andorra,AND,"Mar 16, 2020",5,3
Andorra,AND,"Mar 17, 2020",14,9
Andorra,AND,"Mar 18, 2020",14,0
Andorra,AND,"Mar 19, 2020",53,39
Andorra,AND,"Mar 20, 2020",75,22
Andorra,AND,"Mar 21, 2020",75,0
Andorra,AND,"Mar 22, 2020",88,13
Andorra,AND,"Mar 23, 2020",113,25
Andorra,AND,"Mar 24, 2020",133,20
Andorra,AND,"Mar 25, 2020",164,31
Andorra,AND,"Mar 26, 2020",188,24
Andorra,AND,"Mar 27, 2020",224,36
Andorra,AND,"Mar 28, 2020",267,43
Andorra,AND,"Mar 29, 2020",308,41
Andorra,AND,"Mar 30, 2020",334,26
Angola,AGO,"Mar 22, 2020",2,2
Angola,AGO,"Mar 23, 2020",2,0
Angola,AGO,"Mar 24, 2020",2,0
Angola,AGO,"Mar 25, 2020",2,0
Angola,AGO,"Mar 26, 2020",2,0
Angola,AGO,"Mar 27, 2020",3,1
Angola,AGO,"Mar 28, 2020",4,1
Angola,AGO,"Mar 29, 2020",4,0
Angola,AGO,"Mar 30, 2020",7,3
Anguilla,AIA,"Mar 27, 2020",2,2
Anguilla,AIA,"Mar 28, 2020",2,0
Anguilla,AIA,"Mar 29, 2020",2,0
Anguilla,AIA,"Mar 30, 2020",2,0
Antigua and Barbuda,ATG,"Mar 15, 2020",1,1
Antigua and Barbuda,ATG,"Mar 21, 2020",1,0
Antigua and Barbuda,ATG,"Mar 22, 2020",1,0
Antigua and Barbuda,ATG,"Mar 23, 2020",1,0
Antigua and Barbuda,ATG,"Mar 24, 2020",1,0
Antigua and Barbuda,ATG,"Mar 25, 2020",3,2
Antigua and Barbuda,ATG,"Mar 26, 2020",3,0
Antigua and Barbuda,ATG,"Mar 27, 2020",7,4
Antigua and Barbuda,ATG,"Mar 28, 2020",7,0
Antigua and Barbuda,ATG,"Mar 29, 2020",7,0
Antigua and Barbuda,ATG,"Mar 30, 2020",7,0
Argentina,ARG,"Mar 4, 2020",1,1
Argentina,ARG,"Mar 6, 2020",2,1
Argentina,ARG,"Mar 7, 2020",8,6
Argentina,ARG,"Mar 8, 2020",9,1
Argentina,ARG,"Mar 9, 2020",12,3
Argentina,ARG,"Mar 11, 2020",19,7
Argentina,ARG,"Mar 13, 2020",31,12
Argentina,ARG,"Mar 14, 2020",34,3
Argentina,ARG,"Mar 15, 2020",45,11
Argentina,ARG,"Mar 16, 2020",56,11
Argentina,ARG,"Mar 17, 2020",65,9
Argentina,ARG,"Mar 18, 2020",79,14
Argentina,ARG,"Mar 19, 2020",97,18
Argentina,ARG,"Mar 20, 2020",128,31
Argentina,ARG,"Mar 21, 2020",158,30
Argentina,ARG,"Mar 22, 2020",225,67
Argentina,ARG,"Mar 23, 2020",266,41
Argentina,ARG,"Mar 24, 2020",301,35
Argentina,ARG,"Mar 25, 2020",387,86
Argentina,ARG,"Mar 26, 2020",502,115
Argentina,ARG,"Mar 27, 2020",589,87
Argentina,ARG,"Mar 28, 2020",690,101
Argentina,ARG,"Mar 29, 2020",745,55
Argentina,ARG,"Mar 30, 2020",820,75
Armenia,ARM,"Dec 31, 2019",0,0
Armenia,ARM,"Jan 1, 2020",0,0
Armenia,ARM,"Jan 2, 2020",0,0
Armenia,ARM,"Jan 3, 2020",0,0
Armenia,ARM,"Jan 4, 2020",0,0
Armenia,ARM,"Jan 5, 2020",0,0
Armenia,ARM,"Jan 6, 2020",0,0
Armenia,ARM,"Jan 7, 2020",0,0
Armenia,ARM,"Jan 8, 2020",0,0
Armenia,ARM,"Jan 9, 2020",0,0
Armenia,ARM,"Jan 10, 2020",0,0
Armenia,ARM,"Jan 11, 2020",0,0
Armenia,ARM,"Jan 12, 2020",0,0
Armenia,ARM,"Jan 13, 2020",0,0
Armenia,ARM,"Jan 14, 2020",0,0
Armenia,ARM,"Jan 15, 2020",0,0
Armenia,ARM,"Jan 16, 2020",0,0
Armenia,ARM,"Jan 17, 2020",0,0
Armenia,ARM,"Jan 18, 2020",0,0
Armenia,ARM,"Jan 19, 2020",0,0
Armenia,ARM,"Jan 20, 2020",0,0
Armenia,ARM,"Jan 21, 2020",0,0
Armenia,ARM,"Jan 22, 2020",0,0
Armenia,ARM,"Jan 23, 2020",0,0
Armenia,ARM,"Jan 24, 2020",0,0
Armenia,ARM,"Jan 25, 2020",0,0
Armenia,ARM,"Jan 26, 2020",0,0
Armenia,ARM,"Jan 27, 2020",0,0
Armenia,ARM,"Jan 28, 2020",0,0
Armenia,ARM,"Jan 29, 2020",0,0
Armenia,ARM,"Jan 30, 2020",0,0
Armenia,ARM,"Jan 31, 2020",0,0
Armenia,ARM,"Feb 1, 2020",0,0
Armenia,ARM,"Feb 2, 2020",0,0
Armenia,ARM,"Feb 3, 2020",0,0
Armenia,ARM,"Feb 4, 2020",0,0
Armenia,ARM,"Feb 5, 2020",0,0
Armenia,ARM,"Feb 6, 2020",0,0
Armenia,ARM,"Feb 7, 2020",0,0
Armenia,ARM,"Feb 8, 2020",0,0
Armenia,ARM,"Feb 9, 2020",0,0
Armenia,ARM,"Feb 10, 2020",0,0
Armenia,ARM,"Feb 11, 2020",0,0
Armenia,ARM,"Feb 12, 2020",0,0
Armenia,ARM,"Feb 13, 2020",0,0
Armenia,ARM,"Feb 14, 2020",0,0
Armenia,ARM,"Feb 15, 2020",0,0
Armenia,ARM,"Feb 16, 2020",0,0
Armenia,ARM,"Feb 17, 2020",0,0
Armenia,ARM,"Feb 18, 2020",0,0
Armenia,ARM,"Feb 19, 2020",0,0
Armenia,ARM,"Feb 20, 2020",0,0
Armenia,ARM,"Feb 21, 2020",0,0
Armenia,ARM,"Feb 22, 2020",0,0
Armenia,ARM,"Feb 23, 2020",0,0
Armenia,ARM,"Feb 24, 2020",0,0
Armenia,ARM,"Feb 25, 2020",0,0
Armenia,ARM,"Feb 26, 2020",0,0
Armenia,ARM,"Feb 27, 2020",0,0
Armenia,ARM,"Feb 28, 2020",0,0
Armenia,ARM,"Feb 29, 2020",0,0
Armenia,ARM,"Mar 1, 2020",1,1
Armenia,ARM,"Mar 2, 2020",1,0
Armenia,ARM,"Mar 12, 2020",4,3
Armenia,ARM,"Mar 13, 2020",6,2
Armenia,ARM,"Mar 14, 2020",13,7
Armenia,ARM,"Mar 15, 2020",20,7
Armenia,ARM,"Mar 16, 2020",30,10
Armenia,ARM,"Mar 17, 2020",52,22
Armenia,ARM,"Mar 18, 2020",78,26
Armenia,ARM,"Mar 19, 2020",115,37
Armenia,ARM,"Mar 20, 2020",122,7
Armenia,ARM,"Mar 21, 2020",136,14
Armenia,ARM,"Mar 22, 2020",160,24
Armenia,ARM,"Mar 23, 2020",190,30
Armenia,ARM,"Mar 24, 2020",194,4
Armenia,ARM,"Mar 25, 2020",265,71
Armenia,ARM,"Mar 26, 2020",290,25
Armenia,ARM,"Mar 27, 2020",329,39
Armenia,ARM,"Mar 28, 2020",372,43
Armenia,ARM,"Mar 29, 2020",424,52
Armenia,ARM,"Mar 30, 2020",424,0
Aruba,ABW,"Mar 13, 2020",2,2
Aruba,ABW,"Mar 20, 2020",4,2
Aruba,ABW,"Mar 24, 2020",12,8
Aruba,ABW,"Mar 25, 2020",17,5
Aruba,ABW,"Mar 26, 2020",19,2
Aruba,ABW,"Mar 27, 2020",28,9
Aruba,ABW,"Mar 28, 2020",28,0
Aruba,ABW,"Mar 29, 2020",28,0
Aruba,ABW,"Mar 30, 2020",50,22
Australia,AUS,"Dec 31, 2019",0,0
Australia,AUS,"Jan 1, 2020",0,0
Australia,AUS,"Jan 2, 2020",0,0
Australia,AUS,"Jan 3, 2020",0,0
Australia,AUS,"Jan 4, 2020",0,0
Australia,AUS,"Jan 5, 2020",0,0
Australia,AUS,"Jan 6, 2020",0,0
Australia,AUS,"Jan 7, 2020",0,0
Australia,AUS,"Jan 8, 2020",0,0
Australia,AUS,"Jan 9, 2020",0,0
Australia,AUS,"Jan 10, 2020",0,0
Australia,AUS,"Jan 11, 2020",0,0
Australia,AUS,"Jan 12, 2020",0,0
Australia,AUS,"Jan 13, 2020",0,0
Australia,AUS,"Jan 14, 2020",0,0
Australia,AUS,"Jan 15, 2020",0,0
Australia,AUS,"Jan 16, 2020",0,0
Australia,AUS,"Jan 17, 2020",0,0
Australia,AUS,"Jan 18, 2020",0,0
Australia,AUS,"Jan 19, 2020",0,0
Australia,AUS,"Jan 20, 2020",0,0
Australia,AUS,"Jan 21, 2020",0,0
Australia,AUS,"Jan 22, 2020",0,0
Australia,AUS,"Jan 23, 2020",0,0
Australia,AUS,"Jan 24, 2020",0,0
Australia,AUS,"Jan 25, 2020",1,1
Australia,AUS,"Jan 26, 2020",4,3
Australia,AUS,"Jan 27, 2020",4,0
Australia,AUS,"Jan 28, 2020",4,0
Australia,AUS,"Jan 29, 2020",4,0
Australia,AUS,"Jan 30, 2020",6,2
Australia,AUS,"Jan 31, 2020",7,1
Australia,AUS,"Feb 1, 2020",9,2
Australia,AUS,"Feb 2, 2020",11,2
Australia,AUS,"Feb 3, 2020",11,0
Australia,AUS,"Feb 4, 2020",11,0
Australia,AUS,"Feb 5, 2020",12,1
Australia,AUS,"Feb 6, 2020",13,1
Australia,AUS,"Feb 7, 2020",14,1
Australia,AUS,"Feb 8, 2020",14,0
Australia,AUS,"Feb 9, 2020",14,0
Australia,AUS,"Feb 10, 2020",14,0
Australia,AUS,"Feb 11, 2020",14,0
Australia,AUS,"Feb 12, 2020",14,0
Australia,AUS,"Feb 13, 2020",14,0
Australia,AUS,"Feb 14, 2020",15,1
Australia,AUS,"Feb 15, 2020",15,0
Australia,AUS,"Feb 16, 2020",15,0
Australia,AUS,"Feb 17, 2020",15,0
Australia,AUS,"Feb 18, 2020",15,0
Australia,AUS,"Feb 19, 2020",15,0
Australia,AUS,"Feb 20, 2020",15,0
Australia,AUS,"Feb 21, 2020",17,2
Australia,AUS,"Feb 22, 2020",21,4
Australia,AUS,"Feb 23, 2020",22,1
Australia,AUS,"Feb 24, 2020",22,0
Australia,AUS,"Feb 25, 2020",22,0
Australia,AUS,"Feb 26, 2020",22,0
Australia,AUS,"Feb 27, 2020",23,1
Australia,AUS,"Feb 28, 2020",23,0
Australia,AUS,"Feb 29, 2020",25,2
Australia,AUS,"Mar 1, 2020",26,1
Australia,AUS,"Mar 2, 2020",29,3
Australia,AUS,"Mar 3, 2020",33,4
Australia,AUS,"Mar 4, 2020",41,8
Australia,AUS,"Mar 5, 2020",52,11
Australia,AUS,"Mar 6, 2020",59,7
Australia,AUS,"Mar 7, 2020",63,4
Australia,AUS,"Mar 8, 2020",74,11
Australia,AUS,"Mar 9, 2020",80,6
Australia,AUS,"Mar 10, 2020",100,20
Australia,AUS,"Mar 11, 2020",112,12
Australia,AUS,"Mar 12, 2020",126,14
Australia,AUS,"Mar 13, 2020",156,30
Australia,AUS,"Mar 14, 2020",197,41
Australia,AUS,"Mar 15, 2020",249,52
Australia,AUS,"Mar 16, 2020",298,49
Australia,AUS,"Mar 17, 2020",375,77
Australia,AUS,"Mar 18, 2020",454,79
Australia,AUS,"Mar 19, 2020",565,111
Australia,AUS,"Mar 20, 2020",709,144
Australia,AUS,"Mar 21, 2020",874,165
Australia,AUS,"Mar 22, 2020",1098,224
Australia,AUS,"Mar 23, 2020",1709,611
Australia,AUS,"Mar 24, 2020",1823,114
Australia,AUS,"Mar 25, 2020",2423,600
Australia,AUS,"Mar 26, 2020",2799,376
Australia,AUS,"Mar 27, 2020",3166,367
Australia,AUS,"Mar 28, 2020",3378,212
Australia,AUS,"Mar 29, 2020",3809,431
Australia,AUS,"Mar 30, 2020",4093,284
Austria,AUT,"Dec 31, 2019",0,0
Austria,AUT,"Jan 1, 2020",0,0
Austria,AUT,"Jan 2, 2020",0,0
Austria,AUT,"Jan 3, 2020",0,0
Austria,AUT,"Jan 4, 2020",0,0
Austria,AUT,"Jan 5, 2020",0,0
Austria,AUT,"Jan 6, 2020",0,0
Austria,AUT,"Jan 7, 2020",0,0
Austria,AUT,"Jan 8, 2020",0,0
Austria,AUT,"Jan 9, 2020",0,0
Austria,AUT,"Jan 10, 2020",0,0
Austria,AUT,"Jan 11, 2020",0,0
Austria,AUT,"Jan 12, 2020",0,0
Austria,AUT,"Jan 13, 2020",0,0
Austria,AUT,"Jan 14, 2020",0,0
Austria,AUT,"Jan 15, 2020",0,0
Austria,AUT,"Jan 16, 2020",0,0
Austria,AUT,"Jan 17, 2020",0,0
Austria,AUT,"Jan 18, 2020",0,0
Austria,AUT,"Jan 19, 2020",0,0
Austria,AUT,"Jan 20, 2020",0,0
Austria,AUT,"Jan 21, 2020",0,0
Austria,AUT,"Jan 22, 2020",0,0
Austria,AUT,"Jan 23, 2020",0,0
Austria,AUT,"Jan 24, 2020",0,0
Austria,AUT,"Jan 25, 2020",0,0
Austria,AUT,"Jan 26, 2020",0,0
Austria,AUT,"Jan 27, 2020",0,0
Austria,AUT,"Jan 28, 2020",0,0
Austria,AUT,"Jan 29, 2020",0,0
Austria,AUT,"Jan 30, 2020",0,0
Austria,AUT,"Jan 31, 2020",0,0
Austria,AUT,"Feb 1, 2020",0,0
Austria,AUT,"Feb 2, 2020",0,0
Austria,AUT,"Feb 3, 2020",0,0
Austria,AUT,"Feb 4, 2020",0,0
Austria,AUT,"Feb 5, 2020",0,0
Austria,AUT,"Feb 6, 2020",0,0
Austria,AUT,"Feb 7, 2020",0,0
Austria,AUT,"Feb 8, 2020",0,0
Austria,AUT,"Feb 9, 2020",0,0
Austria,AUT,"Feb 10, 2020",0,0
Austria,AUT,"Feb 11, 2020",0,0
Austria,AUT,"Feb 12, 2020",0,0
Austria,AUT,"Feb 13, 2020",0,0
Austria,AUT,"Feb 14, 2020",0,0
Austria,AUT,"Feb 15, 2020",0,0
Austria,AUT,"Feb 16, 2020",0,0
Austria,AUT,"Feb 17, 2020",0,0
Austria,AUT,"Feb 18, 2020",0,0
Austria,AUT,"Feb 19, 2020",0,0
Austria,AUT,"Feb 20, 2020",0,0
Austria,AUT,"Feb 21, 2020",0,0
Austria,AUT,"Feb 22, 2020",0,0
Austria,AUT,"Feb 23, 2020",0,0
Austria,AUT,"Feb 24, 2020",0,0
Austria,AUT,"Feb 25, 2020",0,0
Austria,AUT,"Feb 26, 2020",2,2
Austria,AUT,"Feb 27, 2020",2,0
Austria,AUT,"Feb 28, 2020",5,3
Austria,AUT,"Feb 29, 2020",7,2
Austria,AUT,"Mar 1, 2020",10,3
Austria,AUT,"Mar 2, 2020",14,4
Austria,AUT,"Mar 3, 2020",18,4
Austria,AUT,"Mar 4, 2020",24,6
Austria,AUT,"Mar 5, 2020",29,5
Austria,AUT,"Mar 6, 2020",41,12
Austria,AUT,"Mar 7, 2020",74,33
Austria,AUT,"Mar 8, 2020",99,25
Austria,AUT,"Mar 9, 2020",102,3
Austria,AUT,"Mar 10, 2020",131,29
Austria,AUT,"Mar 11, 2020",182,51
Austria,AUT,"Mar 12, 2020",246,64
Austria,AUT,"Mar 13, 2020",361,115
Austria,AUT,"Mar 14, 2020",504,143
Austria,AUT,"Mar 15, 2020",655,151
Austria,AUT,"Mar 16, 2020",860,205
Austria,AUT,"Mar 17, 2020",1016,156
Austria,AUT,"Mar 18, 2020",1332,316
Austria,AUT,"Mar 19, 2020",1646,314
Austria,AUT,"Mar 20, 2020",2196,550
Austria,AUT,"Mar 21, 2020",2649,453
Austria,AUT,"Mar 22, 2020",3024,375
Austria,AUT,"Mar 23, 2020",3631,607
Austria,AUT,"Mar 24, 2020",4486,855
Austria,AUT,"Mar 25, 2020",5282,796
Austria,AUT,"Mar 26, 2020",5888,606
Austria,AUT,"Mar 27, 2020",7029,1141
Austria,AUT,"Mar 28, 2020",7697,668
Austria,AUT,"Mar 29, 2020",8291,594
Austria,AUT,"Mar 30, 2020",8813,522
Azerbaijan,AZE,"Dec 31, 2019",0,0
Azerbaijan,AZE,"Jan 1, 2020",0,0
Azerbaijan,AZE,"Jan 2, 2020",0,0
Azerbaijan,AZE,"Jan 3, 2020",0,0
Azerbaijan,AZE,"Jan 4, 2020",0,0
Azerbaijan,AZE,"Jan 5, 2020",0,0
Azerbaijan,AZE,"Jan 6, 2020",0,0
Azerbaijan,AZE,"Jan 7, 2020",0,0
Azerbaijan,AZE,"Jan 8, 2020",0,0
Azerbaijan,AZE,"Jan 9, 2020",0,0
Azerbaijan,AZE,"Jan 10, 2020",0,0
Azerbaijan,AZE,"Jan 11, 2020",0,0
Azerbaijan,AZE,"Jan 12, 2020",0,0
Azerbaijan,AZE,"Jan 13, 2020",0,0
Azerbaijan,AZE,"Jan 14, 2020",0,0
Azerbaijan,AZE,"Jan 15, 2020",0,0
Azerbaijan,AZE,"Jan 16, 2020",0,0
Azerbaijan,AZE,"Jan 17, 2020",0,0
Azerbaijan,AZE,"Jan 18, 2020",0,0
Azerbaijan,AZE,"Jan 19, 2020",0,0
Azerbaijan,AZE,"Jan 20, 2020",0,0
Azerbaijan,AZE,"Jan 21, 2020",0,0
Azerbaijan,AZE,"Jan 22, 2020",0,0
Azerbaijan,AZE,"Jan 23, 2020",0,0
Azerbaijan,AZE,"Jan 24, 2020",0,0
Azerbaijan,AZE,"Jan 25, 2020",0,0
Azerbaijan,AZE,"Jan 26, 2020",0,0
Azerbaijan,AZE,"Jan 27, 2020",0,0
Azerbaijan,AZE,"Jan 28, 2020",0,0
Azerbaijan,AZE,"Jan 29, 2020",0,0
Azerbaijan,AZE,"Jan 30, 2020",0,0
Azerbaijan,AZE,"Jan 31, 2020",0,0
Azerbaijan,AZE,"Feb 1, 2020",0,0
Azerbaijan,AZE,"Feb 2, 2020",0,0
Azerbaijan,AZE,"Feb 3, 2020",0,0
Azerbaijan,AZE,"Feb 4, 2020",0,0
Azerbaijan,AZE,"Feb 5, 2020",0,0
Azerbaijan,AZE,"Feb 6, 2020",0,0
Azerbaijan,AZE,"Feb 7, 2020",0,0
Azerbaijan,AZE,"Feb 8, 2020",0,0
Azerbaijan,AZE,"Feb 9, 2020",0,0
Azerbaijan,AZE,"Feb 10, 2020",0,0
Azerbaijan,AZE,"Feb 11, 2020",0,0
Azerbaijan,AZE,"Feb 12, 2020",0,0
Azerbaijan,AZE,"Feb 13, 2020",0,0
Azerbaijan,AZE,"Feb 14, 2020",0,0
